pid, used_gpu_memory [MiB]
11849, 392 MiB
11849, 392 MiB
11849, 790 MiB
11849, 4368 MiB
11849, 4368 MiB
11849, 4368 MiB
11849, 4368 MiB
11849, 4368 MiB
11849, 4368 MiB
11849, 4368 MiB
11849, 4368 MiB
11849, 4368 MiB
11849, 4368 MiB
11849, 4368 MiB
11849, 4368 MiB
11849, 4368 MiB
11849, 4368 MiB
11849, 4368 MiB
11849, 4368 MiB
11849, 4368 MiB
11849, 1038 MiB
11849, 976 MiB
11849, 1124 MiB
11849, 1078 MiB
11849, 948 MiB
11849, 4382 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4386 MiB
11849, 874 MiB
11849, 1022 MiB
11849, 862 MiB
11849, 862 MiB
11849, 4376 MiB
11849, 4376 MiB
11849, 4376 MiB
11849, 4376 MiB
11849, 4376 MiB
11849, 4376 MiB
11849, 4376 MiB
11849, 4376 MiB
11849, 4376 MiB
11849, 4376 MiB
11849, 4376 MiB
11849, 4376 MiB
11849, 4376 MiB
11849, 4376 MiB
11849, 4376 MiB
11849, 4376 MiB
11849, 4376 MiB
11849, 4376 MiB
11849, 854 MiB
11849, 854 MiB
11849, 1002 MiB
11849, 840 MiB
11849, 840 MiB
11849, 4386 MiB
11849, 4386 MiB
11849, 4386 MiB
11849, 4386 MiB
11849, 4386 MiB
11849, 4386 MiB
11849, 4386 MiB
11849, 4386 MiB
11849, 4386 MiB
11849, 4386 MiB
11849, 4386 MiB
11849, 4386 MiB
11849, 4386 MiB
11849, 4386 MiB
11849, 4386 MiB
11849, 4386 MiB
11849, 4386 MiB
11849, 4386 MiB
11849, 876 MiB
11849, 1024 MiB
11849, 1026 MiB
11849, 826 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4384 MiB
11849, 850 MiB
11849, 998 MiB
11849, 822 MiB
11849, 822 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 852 MiB
11849, 1000 MiB
11849, 1000 MiB
11849, 838 MiB
11849, 1872 MiB
11849, 4380 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 874 MiB
11849, 1022 MiB
11849, 838 MiB
11849, 838 MiB
11849, 4380 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 888 MiB
11849, 872 MiB
11849, 1020 MiB
11849, 836 MiB
11849, 836 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 876 MiB
11849, 1024 MiB
11849, 1024 MiB
11849, 826 MiB
11849, 826 MiB
11849, 4382 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4384 MiB
11849, 4386 MiB
11849, 846 MiB
11849, 994 MiB
11849, 834 MiB
11849, 834 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 4382 MiB
11849, 888 MiB
11849, 888 MiB
11849, 1036 MiB
11849, 842 MiB
11849, 842 MiB
11849, 4370 MiB
11849, 4370 MiB
11849, 4370 MiB
11849, 4370 MiB
11849, 4370 MiB
11849, 4370 MiB
11849, 4370 MiB
11849, 4370 MiB
11849, 4370 MiB
11849, 4370 MiB
11849, 4370 MiB
11849, 4370 MiB
11849, 4370 MiB
11849, 4370 MiB
11849, 4370 MiB
11849, 4370 MiB
11849, 4370 MiB
11849, 4370 MiB
11849, 878 MiB
11849, 1026 MiB
11849, 1028 MiB
