pid, gpu_uuid, used_gpu_memory [MiB]
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 300 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 300 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 384 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 570 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 570 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 384 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1480 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 384 MiB
236605, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 754 MiB
