pid, gpu_uuid, used_gpu_memory [MiB]
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 820 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 556 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1532 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1354 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1914 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2326 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2712 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2428 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1928 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2092 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1902 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1496 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2390 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2062 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2820 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2316 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1934 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1608 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1928 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2756 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1902 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2980 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2442 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2288 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1914 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1700 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2788 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2372 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1928 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1498 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3260 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2898 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2636 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1928 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2476 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1902 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2770 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2988 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2928 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2728 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3248 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3064 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1902 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2352 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3148 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1934 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1608 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3260 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1914 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1496 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2898 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2652 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2922 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2098 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1936 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1608 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2898 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2652 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1916 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2378 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1914 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1496 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1934 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1608 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1928 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2812 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1902 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1496 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2460 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1902 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1700 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1916 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1496 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1914 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1948 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3218 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1914 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 1496 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3232 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1914 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2840 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 3232 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 3016 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 1914 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2868 MiB
152744, GPU-80cc54f6-7913-1b9e-7d7a-a0701a94b8b6, 2818 MiB
152744, GPU-248f46ce-a0c4-c614-2d6d-bff3f905e508, 2458 MiB
