pid, used_gpu_memory [MiB]
190425, 974 MiB
190425, 2348 MiB
190425, 2494 MiB
190425, 2364 MiB
190425, 2364 MiB
190425, 2364 MiB
190425, 2354 MiB
190425, 2364 MiB
190425, 2364 MiB
190425, 2538 MiB
190425, 2364 MiB
190425, 2364 MiB
190425, 2364 MiB
190425, 2408 MiB
190425, 2364 MiB
190425, 2514 MiB
190425, 2494 MiB
190425, 2270 MiB
190425, 2274 MiB
190425, 2538 MiB
190425, 2540 MiB
190425, 2364 MiB
190425, 2538 MiB
190425, 2364 MiB
190425, 2516 MiB
190425, 2332 MiB
190425, 2364 MiB
190425, 2304 MiB
190425, 2258 MiB
190425, 2252 MiB
190425, 2344 MiB
190425, 2314 MiB
190425, 2320 MiB
190425, 2646 MiB
190425, 2602 MiB
190425, 2336 MiB
190425, 2344 MiB
190425, 2602 MiB
190425, 2260 MiB
190425, 2518 MiB
190425, 2186 MiB
190425, 2344 MiB
190425, 2344 MiB
190425, 2344 MiB
190425, 2310 MiB
190425, 2344 MiB
190425, 2646 MiB
190425, 2250 MiB
190425, 2344 MiB
190425, 2308 MiB
190425, 2344 MiB
190425, 2344 MiB
190425, 2338 MiB
190425, 2344 MiB
190425, 2302 MiB
190425, 2646 MiB
190425, 2644 MiB
190425, 2238 MiB
190425, 2344 MiB
190425, 2308 MiB
190425, 2602 MiB
190425, 2646 MiB
190425, 2258 MiB
190425, 2344 MiB
190425, 2344 MiB
190425, 2344 MiB
190425, 2180 MiB
190425, 2322 MiB
190425, 2326 MiB
190425, 2322 MiB
190425, 2344 MiB
190425, 2344 MiB
190425, 2602 MiB
190425, 2252 MiB
190425, 2344 MiB
190425, 2602 MiB
190425, 2624 MiB
190425, 2344 MiB
190425, 2344 MiB
190425, 2314 MiB
190425, 2304 MiB
190425, 2326 MiB
190425, 2602 MiB
190425, 2604 MiB
190425, 2344 MiB
190425, 2344 MiB
190425, 2344 MiB
190425, 2390 MiB
190425, 2602 MiB
190425, 2318 MiB
190425, 2344 MiB
190425, 2610 MiB
190425, 2344 MiB
190425, 2602 MiB
190425, 2312 MiB
190425, 2344 MiB
190425, 2336 MiB
190425, 2602 MiB
190425, 2314 MiB
190425, 2342 MiB
190425, 2644 MiB
190425, 2344 MiB
190425, 2608 MiB
190425, 2344 MiB
190425, 2316 MiB
190425, 2602 MiB
190425, 2176 MiB
190425, 2344 MiB
190425, 2472 MiB
190425, 2250 MiB
190425, 2344 MiB
190425, 2330 MiB
190425, 2344 MiB
190425, 2308 MiB
190425, 2344 MiB
190425, 2344 MiB
190425, 2250 MiB
190425, 2332 MiB
190425, 2310 MiB
190425, 2602 MiB
190425, 2248 MiB
190425, 2256 MiB
190425, 2344 MiB
190425, 2220 MiB
190425, 2388 MiB
190425, 2646 MiB
190425, 2202 MiB
190425, 2344 MiB
190425, 2602 MiB
