pid, gpu_uuid, used_gpu_memory [MiB]
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 392 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 392 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 392 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2072 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1156 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1156 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1286 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1286 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1286 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1156 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1156 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 2074 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1018 MiB
98106, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 1018 MiB
