pid, gpu_uuid, used_gpu_memory [MiB]
137556, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 404 MiB
137556, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 404 MiB
137556, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 404 MiB
137556, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 404 MiB
137556, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 404 MiB
137556, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 3020 MiB
137556, GPU-3a5082a1-1b81-8b61-005c-ce2e010bdc81, 2960 MiB
137556, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 3730 MiB
137556, GPU-3a5082a1-1b81-8b61-005c-ce2e010bdc81, 3752 MiB
137556, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 3730 MiB
137556, GPU-3a5082a1-1b81-8b61-005c-ce2e010bdc81, 3752 MiB
137556, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 3730 MiB
137556, GPU-3a5082a1-1b81-8b61-005c-ce2e010bdc81, 3752 MiB
137556, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 3730 MiB
137556, GPU-3a5082a1-1b81-8b61-005c-ce2e010bdc81, 3752 MiB
137556, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 3730 MiB
137556, GPU-3a5082a1-1b81-8b61-005c-ce2e010bdc81, 3752 MiB
137556, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 3730 MiB
137556, GPU-3a5082a1-1b81-8b61-005c-ce2e010bdc81, 3752 MiB
137556, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 3730 MiB
137556, GPU-3a5082a1-1b81-8b61-005c-ce2e010bdc81, 3752 MiB
137556, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 3730 MiB
137556, GPU-3a5082a1-1b81-8b61-005c-ce2e010bdc81, 3752 MiB
137556, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 3730 MiB
137556, GPU-3a5082a1-1b81-8b61-005c-ce2e010bdc81, 3752 MiB
137556, GPU-47539ef2-464f-67e9-5fac-2bf734641438, 3730 MiB
137556, GPU-3a5082a1-1b81-8b61-005c-ce2e010bdc81, 3752 MiB
