pid, used_gpu_memory [MiB]
97365, 706 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1766 MiB
97365, 1706 MiB
97365, 1702 MiB
97365, 1726 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1704 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1726 MiB
97365, 1706 MiB
97365, 1746 MiB
97365, 1698 MiB
97365, 1766 MiB
97365, 1702 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1746 MiB
97365, 1706 MiB
97365, 1704 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1746 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1696 MiB
97365, 1700 MiB
97365, 1698 MiB
97365, 1704 MiB
97365, 1702 MiB
97365, 1698 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1698 MiB
97365, 1702 MiB
97365, 1702 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1726 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1698 MiB
97365, 1726 MiB
97365, 1726 MiB
97365, 1704 MiB
97365, 1702 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1702 MiB
97365, 1726 MiB
97365, 1704 MiB
97365, 1698 MiB
97365, 1766 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1704 MiB
97365, 1700 MiB
97365, 1698 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1766 MiB
97365, 1706 MiB
97365, 1694 MiB
97365, 1702 MiB
97365, 1702 MiB
97365, 1706 MiB
97365, 1694 MiB
97365, 1696 MiB
97365, 1746 MiB
97365, 1698 MiB
97365, 1726 MiB
97365, 1700 MiB
97365, 1706 MiB
97365, 1704 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1726 MiB
97365, 1696 MiB
97365, 1698 MiB
97365, 1726 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1696 MiB
97365, 1698 MiB
97365, 1726 MiB
97365, 1704 MiB
97365, 1746 MiB
97365, 1766 MiB
97365, 1696 MiB
97365, 1702 MiB
97365, 1726 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1698 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1704 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1702 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1726 MiB
97365, 1726 MiB
97365, 1766 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1726 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1700 MiB
97365, 1696 MiB
97365, 1702 MiB
97365, 1726 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1694 MiB
97365, 1694 MiB
97365, 1694 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1694 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1746 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1704 MiB
97365, 1702 MiB
97365, 1694 MiB
97365, 1706 MiB
97365, 1694 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1706 MiB
97365, 1700 MiB
97365, 1696 MiB
97365, 1698 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1726 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1698 MiB
97365, 1702 MiB
97365, 1726 MiB
97365, 1766 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1746 MiB
97365, 1706 MiB
97365, 1726 MiB
97365, 1698 MiB
97365, 1704 MiB
97365, 1698 MiB
97365, 1700 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1746 MiB
97365, 1700 MiB
97365, 1706 MiB
97365, 1704 MiB
97365, 1702 MiB
97365, 1726 MiB
97365, 1698 MiB
97365, 1766 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1696 MiB
97365, 1702 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1726 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1694 MiB
97365, 1698 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1698 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1702 MiB
97365, 1726 MiB
97365, 1694 MiB
97365, 1746 MiB
97365, 1694 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1704 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1698 MiB
97365, 1696 MiB
97365, 1704 MiB
97365, 1726 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1702 MiB
97365, 1706 MiB
97365, 1694 MiB
97365, 1700 MiB
97365, 1706 MiB
97365, 1746 MiB
97365, 1726 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1726 MiB
97365, 1746 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1698 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1704 MiB
97365, 1706 MiB
97365, 1702 MiB
97365, 1704 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1704 MiB
97365, 1726 MiB
97365, 1704 MiB
97365, 1706 MiB
97365, 1726 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1694 MiB
97365, 1696 MiB
97365, 1700 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1694 MiB
97365, 1696 MiB
97365, 1746 MiB
97365, 1704 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1694 MiB
97365, 1696 MiB
97365, 1702 MiB
97365, 1702 MiB
97365, 1702 MiB
97365, 1696 MiB
97365, 1704 MiB
97365, 1696 MiB
97365, 1746 MiB
97365, 1694 MiB
97365, 1706 MiB
97365, 1726 MiB
97365, 1698 MiB
97365, 1704 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1694 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1702 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1698 MiB
97365, 1704 MiB
97365, 1726 MiB
97365, 1696 MiB
97365, 1702 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1694 MiB
97365, 1704 MiB
97365, 1704 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1698 MiB
97365, 1704 MiB
97365, 1706 MiB
97365, 1702 MiB
97365, 1694 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1694 MiB
97365, 1746 MiB
97365, 1746 MiB
97365, 1694 MiB
97365, 1706 MiB
97365, 1702 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1700 MiB
97365, 1726 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1726 MiB
97365, 1726 MiB
97365, 1726 MiB
97365, 1698 MiB
97365, 1702 MiB
97365, 1700 MiB
97365, 1746 MiB
97365, 1704 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1726 MiB
97365, 1726 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1726 MiB
97365, 1698 MiB
97365, 1694 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1694 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1702 MiB
97365, 1706 MiB
97365, 1704 MiB
97365, 1696 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1766 MiB
97365, 1766 MiB
97365, 1702 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1696 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1704 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1698 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1700 MiB
97365, 1704 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1766 MiB
97365, 1706 MiB
97365, 1702 MiB
97365, 1706 MiB
97365, 1694 MiB
97365, 1726 MiB
97365, 1696 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1702 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1706 MiB
97365, 1766 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1726 MiB
97365, 1704 MiB
97365, 1702 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1702 MiB
97365, 1706 MiB
97365, 1726 MiB
97365, 1698 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1702 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1726 MiB
97365, 1766 MiB
97365, 1704 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1702 MiB
97365, 1700 MiB
97365, 1702 MiB
97365, 1694 MiB
97365, 1698 MiB
97365, 1694 MiB
97365, 1706 MiB
97365, 1746 MiB
97365, 1694 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1698 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1702 MiB
97365, 1706 MiB
97365, 1726 MiB
97365, 1698 MiB
97365, 1746 MiB
97365, 1700 MiB
97365, 1766 MiB
97365, 1726 MiB
97365, 1698 MiB
97365, 1746 MiB
97365, 1706 MiB
97365, 1694 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1746 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1698 MiB
97365, 1766 MiB
97365, 1702 MiB
97365, 1704 MiB
97365, 1726 MiB
97365, 1698 MiB
97365, 1696 MiB
97365, 1704 MiB
97365, 1704 MiB
97365, 1704 MiB
97365, 1698 MiB
97365, 1726 MiB
97365, 1698 MiB
97365, 1704 MiB
97365, 1726 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1726 MiB
97365, 1704 MiB
97365, 1726 MiB
97365, 1700 MiB
97365, 1696 MiB
97365, 1696 MiB
97365, 1698 MiB
97365, 1704 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1696 MiB
97365, 1698 MiB
97365, 1706 MiB
97365, 1726 MiB
97365, 1706 MiB
97365, 1746 MiB
97365, 1696 MiB
97365, 1706 MiB
97365, 1706 MiB
97365, 1702 MiB
97365, 1704 MiB
97365, 1726 MiB
